"Dep";"Arr";"Nb"
"AIX EN PROVENCE TGV";"PARIS LYON";25835
"ANGERS SAINT LAUD";"PARIS MONTPARNASSE";27493
"ANGOULEME";"PARIS MONTPARNASSE";18985
"ANNECY";"PARIS LYON";10771
"ARRAS";"PARIS NORD";20247
"AVIGNON TGV";"PARIS LYON";32797
"BARCELONA";"PARIS LYON";1900
"BELLEGARDE (AIN)";"PARIS LYON";14388
"BESANCON FRANCHE COMTE TGV";"PARIS LYON";12406
"BORDEAUX ST JEAN";"PARIS MONTPARNASSE";47302
"BORDEAUX ST JEAN";"PARIS VAUGIRARD";640
"BREST";"PARIS MONTPARNASSE";15304
"CHAMBERY CHALLES LES EAUX";"PARIS LYON";12887
"DIJON VILLE";"PARIS LYON";26883
"DOUAI";"PARIS NORD";12044
"DUNKERQUE";"PARIS NORD";14980
"FRANCFORT";"PARIS EST";8243
"GENEVE";"PARIS LYON";13673
"GRENOBLE";"PARIS LYON";13628
"ITALIE";"PARIS LYON";5470
"LA ROCHELLE VILLE";"PARIS MONTPARNASSE";13173
"LAUSANNE";"PARIS LYON";7941
"LAVAL";"PARIS MONTPARNASSE";13992
"LE CREUSOT MONTCEAU MONTCHANIN";"PARIS LYON";13533
"LE MANS";"PARIS MONTPARNASSE";27621
"LILLE";"PARIS NORD";36032
"LYON PART DIEU";"PARIS LYON";38498
"MACON LOCHE";"PARIS LYON";12849
"MARSEILLE ST CHARLES";"PARIS LYON";27946
"METZ";"PARIS EST";18430
"MONTPELLIER";"PARIS LYON";21099
"MULHOUSE VILLE";"PARIS LYON";19194
"NANCY";"PARIS EST";18127
"NANTES";"PARIS MONTPARNASSE";33965
"NANTES";"PARIS VAUGIRARD";607
"NICE VILLE";"PARIS LYON";12823
"NIMES";"PARIS LYON";21124
"PARIS EST";"FRANCFORT";9167
"PARIS EST";"METZ";18906
"PARIS EST";"NANCY";17959
"PARIS EST";"REIMS";13331
"PARIS EST";"STRASBOURG";29615
"PARIS EST";"STUTTGART";8644
"PARIS LYON";"AIX EN PROVENCE TGV";27618
"PARIS LYON";"ANNECY";10142
"PARIS LYON";"AVIGNON TGV";30066
"PARIS LYON";"BARCELONA";1924
"PARIS LYON";"BELLEGARDE (AIN)";12724
"PARIS LYON";"BESANCON FRANCHE COMTE TGV";11937
"PARIS LYON";"CHAMBERY CHALLES LES EAUX";12230
"PARIS LYON";"DIJON VILLE";27541
"PARIS LYON";"GENEVE";12363
"PARIS LYON";"GRENOBLE";13914
"PARIS LYON";"ITALIE";5440
"PARIS LYON";"LAUSANNE";7698
"PARIS LYON";"LE CREUSOT MONTCEAU MONTCHANIN";12808
"PARIS LYON";"LYON PART DIEU";37423
"PARIS LYON";"MACON LOCHE";12920
"PARIS LYON";"MARSEILLE ST CHARLES";29616
"PARIS LYON";"MONTPELLIER";18872
"PARIS LYON";"MULHOUSE VILLE";18194
"PARIS LYON";"NICE VILLE";12940
"PARIS LYON";"NIMES";19176
"PARIS LYON";"PERPIGNAN";10505
"PARIS LYON";"SAINT ETIENNE CHATEAUCREUX";6774
"PARIS LYON";"TOULON";16176
"PARIS LYON";"VALENCE ALIXAN TGV";18999
"PARIS LYON";"ZURICH";9352
"PARIS MONTPARNASSE";"ANGERS SAINT LAUD";25924
"PARIS MONTPARNASSE";"ANGOULEME";18243
"PARIS MONTPARNASSE";"BORDEAUX ST JEAN";44113
"PARIS MONTPARNASSE";"BREST";15248
"PARIS MONTPARNASSE";"LA ROCHELLE VILLE";13253
"PARIS MONTPARNASSE";"LAVAL";14422
"PARIS MONTPARNASSE";"LE MANS";27395
"PARIS MONTPARNASSE";"NANTES";32338
"PARIS MONTPARNASSE";"POITIERS";30870
"PARIS MONTPARNASSE";"QUIMPER";13986
"PARIS MONTPARNASSE";"RENNES";36336
"PARIS MONTPARNASSE";"ST MALO";6284
"PARIS MONTPARNASSE";"ST PIERRE DES CORPS";26317
"PARIS MONTPARNASSE";"TOULOUSE MATABIAU";9967
"PARIS MONTPARNASSE";"TOURS";11158
"PARIS MONTPARNASSE";"VANNES";14530
"PARIS NORD";"ARRAS";18581
"PARIS NORD";"DOUAI";11781
"PARIS NORD";"DUNKERQUE";15380
"PARIS NORD";"LILLE";36763
"PARIS VAUGIRARD";"BORDEAUX ST JEAN";622
"PARIS VAUGIRARD";"NANTES";594
"PARIS VAUGIRARD";"RENNES";314
"PERPIGNAN";"PARIS LYON";10295
"POITIERS";"PARIS MONTPARNASSE";28509
"QUIMPER";"PARIS MONTPARNASSE";14086
"REIMS";"PARIS EST";12984
"RENNES";"PARIS MONTPARNASSE";36834
"RENNES";"PARIS VAUGIRARD";315
"SAINT ETIENNE CHATEAUCREUX";"PARIS LYON";6553
"ST MALO";"PARIS MONTPARNASSE";5973
"ST PIERRE DES CORPS";"PARIS MONTPARNASSE";26183
"STRASBOURG";"PARIS EST";29914
"STUTTGART";"PARIS EST";8513
"TOULON";"PARIS LYON";16843
"TOULOUSE MATABIAU";"PARIS MONTPARNASSE";11008
"TOURS";"PARIS MONTPARNASSE";11569
"VALENCE ALIXAN TGV";"PARIS LYON";17754
"VANNES";"PARIS MONTPARNASSE";15311
"ZURICH";"PARIS LYON";9322
